ts_utc,ts_local,dia_semana,hora,ask,bid,spread_abs,spread_pct,rango_pct,prof_ask_usdt,prof_bid_usdt,ask2,ask3,bid2,bid3
2026-08-31 04:58:06,2026-08-30 23:58:06,1,23,935.300,934.000,1.300,0.1392,0.5910,240897.23,197621.48,935.399,935.750,932.618,932.500
2026-08-31 04:58:57,2026-08-30 23:58:57,1,23,935.300,934.000,1.300,0.1392,0.5803,240834.28,197156.06,935.399,935.750,932.618,932.500
2026-08-31 14:33:14,2026-08-31 09:33:14,1,09,937.950,949.900,-11.950,-1.2580,0.2022,107678.81,553409.20,937.980,938.000,941.000,940.064
2026-08-31 17:12:40,2026-08-31 12:12:40,1,12,929.199,935.000,-5.801,-0.6204,0.2371,309031.50,335408.12,929.240,929.250,934.050,933.000
2026-08-31 22:01:29,2026-08-31 17:01:29,1,17,930.000,935.500,-5.500,-0.5879,0.2685,108222.22,486986.54,930.420,931.000,931.500,931.100
2026-09-01 01:15:41,2026-08-31 20:15:41,2,20,936.400,940.000,-3.600,-0.3830,0.3095,1422318.36,626177.53,939.000,939.400,939.000,939.000
2026-09-01 06:44:47,2026-09-01 01:44:47,2,01,939.000,940.000,-1.000,-0.1064,0.7157,155110.03,405117.65,939.990,940.000,939.000,938.100
2026-09-01 12:31:45,2026-09-01 07:31:45,2,07,939.000,941.000,-2.000,-0.2125,0.4040,130431.31,511518.77,941.800,942.000,940.800,940.720
2026-09-01 16:53:38,2026-09-01 11:53:38,2,11,948.000,952.520,-4.520,-0.4745,0.2004,306944.80,481469.44,948.399,948.990,949.200,949.200
2026-09-01 19:54:01,2026-09-01 14:54:01,2,14,955.890,958.900,-3.010,-0.3139,0.2774,205357.75,75471.11,956.000,956.744,958.000,957.200
